"18 Digit Account ID Conversion","Account ID","Account Name","Billing Country (text only)","Website","Website URL cleaned","Crunchbase URL","Company NOT in Crunchbase","Company AIN'T BEEN CHECKED in Crunchbase"
"0012A00001v55TvQAI","0012A00001v55Tv","ACF Solutions","United States","http://www.acfsolutions.com/","acfsolutions.com/","https://www.crunchbase.com/organization/acf-solutions","0","0"
"0011Y00002reOsIQAU","0011Y00002reOsI","Achieverz","India","","","","0","1"
"0012A00002G0Ql9QAF","0012A00002G0Ql9","ACHIEVR","Australia","achievr.media","achievr.media","","0","1"
"0012A00002NnxRdQAJ","0012A00002NnxRd","acidlabs","Australia","http://acidlabs.design/","acidlabs.design/","","0","1"
"0011Y00002nufRGQAY","0011Y00002nufRG","ACIT","India","http://www.acit.in/","acit.in/","https://www.crunchbase.com/organization/acit-institute","0","0"
"0011Y000035xutLQAQ","0011Y000035xutL","ACL Consulting","United States","http://www.acl-consulting.com","acl-consulting.com","","1","0"
"0012A00002TadotQAB","0012A00002Tadot","Aclima","United States","https://aclima.io/","aclima.io/","https://www.crunchbase.com/organization/aclima","0","0"
"001F000001kgFhgIAE","001F000001kgFhg","Aconex Limited","Australia","http://www.aconex.com","aconex.com","https://www.crunchbase.com/organization/aconex","0","0"
"0011Y00003575nWQAQ","0011Y00003575nW","ACONIF S.A.","Argentina","http://www.aconif.com","aconif.com","","1","0"
"0012A00002DQRdvQAH","0012A00002DQRdv","Acorn Cryotech","Canada","","","https://www.crunchbase.com/organization/acorn-cryotech","0","0"
"0011Y0000356b35QAA","0011Y0000356b35","AcousticSelling","United States","https://acousticselling.com","acousticselling.com","","1","0"
"0011Y00002rcfHVQAY","0011Y00002rcfHV","Acoustix","Australia","xyber.com.au","xyber.com.au","","0","1"
"0011Y00002kJOMlQAO","0011Y00002kJOMl","ACR","United States","","","","0","1"
"0012A00002TZzRDQA1","0012A00002TZzRD","ACS","United States","","","https://www.crunchbase.com/organization/acs","0","0"
"0011Y00002kJOMaQAO","0011Y00002kJOMa","ACSPropel","United States","","","","0","1"
"0011Y000031Hos9QAC","0011Y000031Hos9","ACT House","United States","http://act.house/","act.house/","https://www.crunchbase.com/organization/act-house","0","0"
"0011Y00002rb8bWQAQ","0011Y00002rb8bW","Action Face","United States","actionface.app","actionface.app","","0","1"
"001F000001VeV8uIAF","001F000001VeV8u","ActionGrid","United States","https://conga.com/workflow-automation-software/business-process-automation-insights/conga-grid","conga.com/workflow-automation-software/business-process-automation-insights/conga-grid","https://www.crunchbase.com/organization/actiongrid","0","0"
"0012A00002LjxNPQAZ","0012A00002LjxNP","Action Zone","United States","","","","0","1"
"0012A00002Tcd8HQAR","0012A00002Tcd8H","ActiveCampaign","United States","http://www.activecampaign.com","activecampaign.com","https://www.crunchbase.com/organization/activecampaign","0","0"
"0011Y00002rb8bXQAQ","0011Y00002rb8bX","Activechat.ai","United States","https://activechat.ai","activechat.ai","https://www.crunchbase.com/organization/activechat","0","0"
"0012A00002DQRVEQA5","0012A00002DQRVE","Actively","United States","https://actively.ai/","actively.ai/","https://www.crunchbase.com/organization/actively","0","0"
"0012A00002FS91GQAT","0012A00002FS91G","ActiveMedia Technology","","http://www.activemediatech.com/","activemediatech.com/","https://www.crunchbase.com/organization/activemedia-technology","0","0"
"0011Y00002reF9dQAE","0011Y00002reF9d","Active Navigation","United States","http://www.activenavigation.com/","activenavigation.com/","https://www.crunchbase.com/organization/active-navigation","0","0"
"0012A000026CLmeQAG","0012A000026CLme","ActiveProtective","United States","http://www.activeprotective.com/","activeprotective.com/","https://www.crunchbase.com/organization/activeprotective","0","0"
"001F000001TjCSAIA3","001F000001TjCSA","Activity Coins","United States","Unknown","Unknown","","0","1"
"0011Y00002rb8bYQAQ","0011Y00002rb8bY","Activvely App","United States","https://www.activvely.com/","activvely.com/","https://www.crunchbase.com/organization/activvely","0","0"
"0012A00002JLl9tQAD","0012A00002JLl9t","ActiWit","","https://www.actiwit.com/","actiwit.com/","https://www.crunchbase.com/organization/actiwit","0","0"
"0011Y00002rbbIfQAI","0011Y00002rbbIf","Actonic GmbH","Germany","https://actonic.de","actonic.de","","1","0"
"0012A00002SHznIQAT","0012A00002SHznI","Actrio","Germany","http://www.actrio-studio.de","actrio-studio.de","","1","0"
"0011Y00002rb8bZQAQ","0011Y00002rb8bZ","Acuario","United States","","","","0","1"
"0011Y00002lAkQOQA0","0011Y00002lAkQO","Acucyte","United States","http://www.acucyte.com","acucyte.com","","1","0"
"0012A00002DQVYQQA5","0012A00002DQVYQ","Acuratio","United States","http://acuratio.com/","acuratio.com/","https://www.crunchbase.com/organization/acuratio","0","0"
"001F000001qCvoOIAS","001F000001qCvoO","acuteIQ","United States","http://acuteiq.com/","acuteiq.com/","https://www.crunchbase.com/organization/acquteiq","0","0"
"0012A00002CczlSQAR","0012A00002CczlS","Ada Diamonds","United States","http://www.adadiamonds.com/","adadiamonds.com/","https://www.crunchbase.com/organization/ada-diamonds","0","0"
"0012A00002KGp0JQAT","0012A00002KGp0J","Adamid","United States","http://adamid.com","adamid.com","","0","1"
"0012A00002FS5xvQAD","0012A00002FS5xv","Adan Medical Innovation","Spain","http://www.adanmi.com","adanmi.com","https://www.crunchbase.com/organization/adan-medical-innovation","0","0"
"0011Y00002rcfHoQAI","0011Y00002rcfHo","ADAPT","United States","https://www.adapt.io","adapt.io","https://www.crunchbase.com/organization/adapt","0","0"
"001F000001bEfXSIA0","001F000001bEfXS","Adaptavist","United Kingdom","http://www.adaptavist.com/","adaptavist.com/","https://www.crunchbase.com/organization/adaptavist","0","0"
"0011Y00002reP1kQAE","0011Y00002reP1k","ADAPT Basketball","Spain","","","","0","1"
"0012A00002SHzQFQA1","0012A00002SHzQF","AdaptiLab","United States","https://www.adaptilab.com/","adaptilab.com/","https://www.crunchbase.com/organization/adaptilab","0","0"
